Sentence,Sentiment
the geosolutions technology will leverage benefon s gps solutions by providing location based search technology a communities platform location relevant multimedia content and a new and powerful commercial model,positive
esi on lows down to bk a real possibility,negative
for the last quarter of componenta s net sales doubled to eurm from eurm for the same period a year earlier while it moved to a zero pre tax profit from a pre tax loss of eurm,positive
according to the finnish russian chamber of commerce all the major construction companies of finland are operating in russia,neutral
the swedish buyout firm has sold its remaining percent stake almost eighteen months after taking the company public in finland,neutral
spy would not be surprised to see a green close,positive
she will s billion bg deal meets shareholder skepticism,negative
kone s net sales rose by some year on year in the first nine months of,positive
the stockmann department store will have a total floor space of over square metres and stockmann s investment in the project will have a price tag of about eur million,neutral
circulation revenue has increased by in finland and in sweden in,positive
sap q disappoints as software licenses down real problem cloud growth trails msft orcl goog crm adbe https t co jndphllzq,negative
the subdivision made sales revenues last year of eur million eur million in and operating profits of eur million eur million,positive
ahlstrom corporation stock exchange announcement at a total of new shares of ahlstrom corporation have been subscribed with option rights under the company s stock option programs i and ii,neutral
fb gone green on day,positive
msft sql server revenue grew double digit with sql server premium revenue growing over http stks co irf,positive
according to l nnnen tehtaat s ceo matti karppinen the company aims to deliver fish products to its customers a day earlier than it currently does,neutral
the company s share is quoted on nasdaq omx helsinki rautaruukki oyj rtrks,neutral
elcoteq se is listed on the nasdaq omx helsinki ltd,neutral
two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer,neutral
aviva friends life top forecasts ahead of billion pound merger,positive
in stead of being based on a soft drink as is usual the teho energy drink is made with fresh water,neutral
the company plans to increase the unit s specialist staff to several dozen depending on the market situation during,neutral
the company closed last year with a turnover of about four million euros,neutral
shire ceo steps up drive to get baxalta board talking,positive
costco a premier retail dividend play https t co facnhtt cost,positive
the five storey eco efficient building will have a gross floor area of about sq m it will also include apartments,neutral
the first installment of the cinema series concludes with a profile of finnish inventor olavi linden whose personal artistic journey and work at fiskars has led to dozens of design awards,neutral
all are welcome,neutral
stockmann and swedish sector company ab lindex entered into an agreement on september whereby stockmann or a wholly owned subsidiary of it will make a public tender offer for all of lindex s issued shares,positive
huhtamaki oyj stock exchange release at huhtamaki s capital markets day for institutional investors and analysts is held in espoo september starting at pm finnish time,neutral
we are pleased to welcome tapeks noma into cramo group,positive
profit before taxes was eur million,neutral
royal dutch she will to buy bg group for nearly billion,positive
financialwire tm is not a press release service and receives no compensation for its news opinions or distributions,neutral
assa abloy kaupthing bank gave a neutral recommendation and a share price target of crowns euro on swedish lock maker assa abloy ab,neutral
the item included restructuring costs of eur m while a year earlier they were eur m diluted eps stood at eur versus a loss per share of eur,positive
in the bank posted a net profit of lt mn,neutral
aapl afternoon selloff as usual will be brutal get ready to lose a ton of money,negative
tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,negative
intercontinental hotels first quarter global room revenue lags estimates,negative
according to finnish pension insurance company varma varma was the recipient of over two thirds of the revenue of the earnings related pension cover that was under competitive tendering in finland,positive
a portion million will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj,positive
l g still paying price for dividend cut during crisis chief says,negative
the volume of investments in the two phases of the project is estimated at usd mn eur mn,neutral
russia accounted for of the lagardere magazine division s revenue or eur mn usd mn in the usa for,neutral
the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached eur million,positive
profit of the accounting period was eur mn,neutral
the six breweries recorded a percent growth in domestic beer sales last year to million liters from million liters sold in,positive
in august october the company s result before taxes totalled eur mn up from eur mn in the corresponding period in,positive
systeemitiimi s sales and project resources will also be strengthened director paul skogberg said,positive
tesco share price jumps as q sales top estimates,positive
the fine print is here,neutral
the price for logs has clearly improved from and also the price of pulpwood has gone up,positive
thus sysopen digia has in accordance with chapter section of the finnish companies act obtained title to all the shares of sentera that are to be redeemed,neutral
at p m eastern time a block of contracts changed hands at a bid price of,neutral
some of the most recent technology deliveries include refinery technology to anrak aluminium an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel,neutral
vips similar pattern like beginning of may did you sell same now will go up much higher after this drop,positive
the firm generated sales of mln eur in,neutral
stora enso has also had meetings with the labor authorities employment and economic development centres and representatives of the government in order to find solutions,neutral
astrazeneca profit down as sales of stalwarts fade,negative
rt andrewnyquist chartology yahoo http stks co itr yhoo crazy looking chart but nearing breakout resistance line,positive
most bullish stocks on twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more https t co iuzjelfwt,positive
cohen steers inc shares representing of the share capital and voting rights,neutral
more staff has been recruited in japan to further complement its network of close to service locations in more than countries worldwide,positive
kauko telko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year,neutral
operating profit for the quarter april june amounted to eur m on sales of eur bn,neutral
atria chose the delight to attract consumers in the age group to its atria fresh range of microwaveable meals,neutral
us sanctions put gazprom she will alliance plans in jeopardy,negative
profit for the period was eur mn up from eur mn,positive
however sales returned to growth in april june ceo pekka eloholma said,positive
operating profit totaled eur mn or of net sales,neutral
in connection with the deal digia will employ persons from nokia in oslo and in silicon valley in the usa,neutral
the brazilian unit of finnish security solutions provider f secure signed up new clients last year online news source reseller web quoted the division s commercial director vladimir brand uo as saying,positive
it is a testament to the quality of our lte solution and our commitment to the japanese market he added,neutral
the companies aim is to finalize the negotiations and sign the contracts at the start of october,neutral
metso foundries jyvaskyla oy will discontinue production on this line by september the company said,neutral
a total six of the polled analysts rated m real two gave buy accumulate three gave hold and only one gave sell,neutral
in september the finnish group agreed to buy danish company rose poultry a s for up to eur m in a combination of cash and stock,positive
yang double bottom,positive
tesco share price down as grocer faces sfo investigation outcome,negative
aapl news is becoming very bullish again http stks co tmu,positive
gs engineering will install the valves at a liquefied natural gas lng plant it has built for uae lng extraction and gas plants operator gasco in ruwais uae,neutral
the percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the trade register and the total number of voting rights related to them,neutral
m real said there are no grounds for the rumors which have been circulating in the market for some months,neutral
lember said the matter was topical also in estonia where a bill has been drafted at the social affairs ministry that would scrap old age pensions on favorable conditions,neutral
moody s said it gave p a long term senior unsecured and p p short term debt ratings to finnish lender aktia bank s eurbn usd bn euro medium term note emtn program of march,neutral
tsla recall,negative
hargreaves lansdown bucks weak markets to see assets rise percent,positive
the value of the orders is over eur mn,neutral
ms laakso will be responsible for hkscan s hr functions and for their development in all of the group smarket areas,neutral
fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company wartsila corporation,neutral
aberdeen asset management gains foothold in china,positive
finland s dominating rail company vr is planning to set the infected passengers for long distance trip in a separate carriage,neutral
