Sentence,Sentiment
geosolution technology leverage benefon gps solution provide location base search technology community platform location relevant multimedia content new powerful commercial model,positive
esi low down bk real possibility,negative
last quarter componenta net sale double eurm eurm period year early move zero pre tax profit pre tax loss eurm,positive
accord finnish russian chamber commerce major construction company finland operate russia,neutral
swedish buyout firm sell remain percent stake almost eighteen month take company public finland,neutral
spy not surprised see green close,positive
billion bg deal meet shareholder skepticism,negative
kone net sale rise year year first nine month,positive
stockmann department store total floor space over square metre stockmann investment project price tag eur million,neutral
circulation revenue increase finland sweden,positive
sap q disappoint software license down real problem cloud growth trail msft orcl goog crm adbe https co jndphllzq,negative
subdivision make sale revenue last year eur million eur million operating profit eur million eur million,positive
ahlstrom corporation stock exchange announcement total new share ahlstrom corporation subscribe option right company stock option program ii,neutral
fb go green day,positive
msft sql server revenue grow double digit sql server premium revenue grow over http stks co irf,positive
accord l nnnen tehtaat ceo matti karppinen company aim deliver fish product customer day early currently,neutral
company share quote nasdaq omx helsinki rautaruukki oyj rtrk,neutral
elcoteq se list nasdaq omx helsinki ltd,neutral
two contract turntable anode vibrocompactor deliver gansu hualu aluminum co ltd another unnamed costumer,neutral
aviva friend life top forecast ahead billion pound merger,positive
stead base soft drink usual teho energy drink make fresh water,neutral
company plan increase unit specialist staff several dozen depend market situation,neutral
company close last year turnover four million euro,neutral
shire ceo step up drive get baxalta board talk,positive
costco premier retail dividend play https co facnhtt cost,positive
five storey eco efficient building gross floor area sq also include apartment,neutral
first installment cinema series conclude profile finnish inventor olavi linden whose personal artistic journey work fiskars lead dozen design award,neutral
welcome,neutral
stockmann swedish sector company ab lindex enter agreement september whereby stockmann wholly own subsidiary make public tender offer lindex issue share,positive
huhtamaki oyj stock exchange release huhtamaki capital market day institutional investor analyst hold espoo september start pm finnish time,neutral
pleased welcome tapek noma cramo group,positive
profit taxis eur million,neutral
royal dutch buy bg group nearly billion,positive
financialwire tm not press release service receive no compensation news opinion distribution,neutral
assa abloy kaupthing bank give neutral recommendation share price target crown euro swedish lock maker assa abloy ab,neutral
item include restructuring cost eur year early eur dilute ep stand eur versus loss per share eur,positive
bank post net profit lt mn,neutral
aapl afternoon selloff usual brutal get ready lose ton money,negative
tsla recall pretty much every single model x cnnbrk get short even work jump money trade,negative
intercontinental hotel first quarter global room revenue lag estimate,negative
accord finnish pension insurance company varma varma recipient over two third revenue earning relate pension cover competitive tendering finland,positive
portion million record part winning prior patent dispute finnish phone maker nokia oyj,positive
l g still pay price dividend cut crisis chief say,negative
volume investment two phase project estimate usd mn eur mn,neutral
russia account lagardere magazine division revenue eur mn usd mn usa,neutral
company also estimate already carry investment lead increase net sale reach eur million,positive
profit accounting period eur mn,neutral
six brewery record percent growth domestic beer sale last year million liter million liter sell,positive
august october company result taxis total eur mn up eur mn corresponding period,positive
systeemitiimi sale project resource also strengthen director paul skogberg say,positive
tesco share price jump q sale top estimate,positive
fine print,neutral
price log clearly improve also price pulpwood go up,positive
thus sysopen digia accordance chapter section finnish company act obtain title share sentera redeem,neutral
p eastern time block contract change hand bid price,neutral
most recent technology delivery include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sinter plant bhushan steel,neutral
vip similar pattern like beginning may sell go up much high drop,positive
firm generate sale mln eur,neutral
stora enso also meeting labor authority employment economic development centre representative government order find solution,neutral
astrazeneca profit down sale stalwart fade,negative
rt andrewnyquist chartology yahoo http stks co itr yhoo crazy look chart but near breakout resistance line,positive
most bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty https co iuzjelfwt,positive
cohen steer inc share represent share capital voting right,neutral
staff recruit japan far complement network close service location country worldwide,positive
kauko telko centralized administration dissolve appropriate part transfer operating activity group administration end year,neutral
operating profit quarter april june amount eur sale eur bn,neutral
atria choose delight attract consumer age group atria fresh range microwaveable meal,neutral
us sanction put gazprom alliance plan jeopardy,negative
profit period eur mn up eur mn,positive
however sale return growth april june ceo pekka eloholma say,positive
operating profit total eur mn net sale,neutral
connection deal digia employ person nokia oslo silicon valley usa,neutral
brazilian unit finnish security solution provider f secure sign up new client last year online news source reseller web quote division commercial director vladimir brand uo say,positive
testament quality lte solution commitment japanese market add,neutral
company aim finalize negotiation sign contract start october,neutral
metso foundry jyvaskyla oy discontinue production line september company say,neutral
total six poll analyst rate real two give buy accumulate three give hold one give sell,neutral
september finnish group agree buy danish company rise poultry up eur combination cash stock,positive
yang double bottom,positive
tesco share price down grocer face sfo investigation outcome,negative
aapl news become very bullish http stks co tmu,positive
gs engineering install valve liquefy natural gas lng plant build uae lng extraction gas plant operator gasco ruwais uae,neutral
percentage share voting right calculate proportion total number share register trade register total number voting right relate,neutral
real say no ground rumor circulate market month,neutral
lember say matter topical also estonia bill draft social affairs ministry scrap old age pension favorable condition,neutral
moody say give p long term senior unsecured p p short term debt rating finnish lender aktia bank eurbn usd bn euro medium term note emtn program march,neutral
tsla recall,negative
hargreaves lansdown buck weak market see asset rise percent,positive
value order over eur mn,neutral
ms laakso responsible hkscan hr function development group smarket area,neutral
fiskar also engage global supply marine energy equipment solution service associated company wartsila corporation,neutral
aberdeen asset management gain foothold china,positive
finland dominate rail company vr plan set infect passenger long distance trip separate carriage,neutral
november finnish government decrease ownership company far percent percent,neutral
bavelloni nst joint venture bavelloni tool complete semiproduct produce italy high quality tool sell diapol brand,neutral
tool patent pende design allow consumer lay entire project removable plate use multiple clear stamp kind,neutral
googl short below upper bb overbought,negative
light curfew curl up late bestseller treat eye perfect reading light luceplan,neutral
total value contract eur million,neutral
prerequisite inclusion program receipt gain key employee acquire aspo share amount determine board advance maximum,neutral
mr doring eaton since act business unit manager eaton power control business unit since january,neutral
sq sq ft store copenhagen premier shopping district inaugurate today far strengthen company presence nordic capital,positive
financial statement first quarter tikkurila report discontinue operation,neutral
world second large stainless steel maker say net profit three month period december surge euro million us million euro per share euro million euro per share previous year,positive
name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication no kolnp adate filing application publication date,neutral
netflix grow effort create loyal customer nflx https co qxbkobphe,positive
aapl nibble small long via buy off min chart,positive
tyc break new high lot technical look great right,positive
eero katajavuori currently group vice president human resource take year long sabbatical start october,neutral
up lulu number look good not great but good think conference call instill confidence,neutral
adjustment measure carry phase secure delivery capability,neutral
alma medium corporation press release march tyrvaan sanomat paikallissanomat buy suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbouring municipality buy suomen paikallissanomat oy,neutral
meeting medium analyst hold day stonesoft headquarters helsinki italahdenkatu interim report present stonesoft ceo ilkka hiidenheimo,neutral
finnish sampo rosenlew manufacture approximately seven forest machine monthly half machine export,neutral
facebook near buy point last week face different technical test today https co cllmpinm fb aapl nflx https co fpfbytypuy,positive
february finnish broadband datum communication system provider teleste oyj hel tltv say wednesday net profit rocket eur eur lift dividend proposal,positive
free ha heeeeeere come pump glad pick up k end day get ready bull ride,positive
finnish technology group aspocomp group oyj omx helsinki acgv issue third quarter report thursday november post operating profit eur compare loss eur third quarter,positive
building complex consist high quality office retail space total square metre company say,neutral
unit plan operational second half full stream,neutral
itg share deal estimate euro,neutral
plant expect enter commercial operation mid,neutral
aspo also investigate sale opportunity kaukomarkkinat electronic business,neutral
bg group appoint new ceo one month early,neutral
acquisition immediate positive impact aspocomp financial result,positive
rt bman lng looks prime also eght poise run too,positive
also pct above month volume weight average price stock,positive
coke dividend google dividend passive income coke take goog ko https co qbsowjxost,neutral
profit taxis eur mn up eur mn year early,positive
subsidiary set up facility manufacture high density interconnection print circuit board pcb nokia special economic zone sriperumbudur near chennai,neutral
crm sep call since entry bang http stks co dedm,positive
rapala say estimate make saving mln eur year centralise french operation one site,positive
vmw get nice push today follow small sweeper may c morning,positive
top consensus forecast earning euro share,positive
r loan,neutral
future company intend look know outside company cooperate actor sector,positive
ready window open up rosberg say,neutral
tonne asphalt mix use contract,neutral
pa jpmorgan chase co nyse jpm pohjoa bank joint lead manager senior unsecured deal,neutral
ctrp break good vol parser buy signal notice bob langs comment look fast,positive
nordea cheap also couple debt,neutral
jussi pesonen member sampo board since renounce seat sampo board,neutral
tesla recall model x car https co zbkvstl tsla,negative
adjust change group structure division net sale increase,positive
amending proposal simplify propose plan increase incentive key employee stay company,positive
solution expand include ground staff task,neutral
fedday look sharp move up equity aapl hd low fb see uvxy tvix getting hammer even though market down,positive
net sale total eur mn up eur mn corresponding period,positive
consequence work council withdraw petition suspend reorganisation,neutral
ceo erkki j nrvinen happy company performance,positive
comparable net sale expect increase line group target,positive
follow transaction lundbeck worldwide right nalmefene exclude north america mexico turkey south korea,positive
government start sell off last month put percent stake teliasonera auction bloc,neutral
report go provide detailed profile ten leading european specialty chemical company brief profile major player,neutral
operating profit net sale three month period increase respectively eur eurm compare corresponding quarter,positive
company expect net sale whole previous year level,neutral
company headquarter sievi finland list nordic exchange helsinki,neutral
commission income increase eur mn lending volume rise,positive
finnish company sell uk operation consist staff office london birmingham manchester part deal hampden july european wide property casualty arm sampo industrial,neutral
innova building locate close downtown immediate vicinity paviljonki travel center within walk distance heart city thank trade fair bridge,neutral
main strength cooperation project lie merge know two large company,positive
shareholder right put agenda agm item within competence general meeting,neutral
kazgiprotsvetmet outotec finland sign agreement strategic cooperation marketing providing mineral processing metallurgical plant relate service kazakhstan surround country,positive
government instead propose exchange state stake lmt teliasonera stake lattelecom,neutral
stora due release fourth quarter full year earning february,neutral
nq get hit hard lower look like find support http stks co sz,negative
avc systemhaus net sale eur million usd,neutral
company establish g base station foot foot mount everest enable mountain climber foot summit surf internet even send video exploit,positive
offer customer solution base renewable raw material,neutral
pretax profit group life insurance business increase eurm eurm,positive
make available follow brand new market analysis cement pakistan cement malaysia cement taiwan cement philippines analysis give clear overview actual situation future outlook cement industry asian country,neutral
company serve approximately customer over country,neutral
rt alphatrends vmarket still act weak http stks co agn spy qqq xlf smh iwm,negative
one instal elevator double deck elevator enable efficient use building core space,positive
helsinki afx outokumpu say agree sell hitura nickel mine finland canadian group belvedere resources ltd mln eur worth belvedere share,neutral
go long ilmn,positive
social networking location base service trend comprise significant share internet traffic today appeal mid user,neutral
total order value book fourth quarter remainder book second quarter,neutral
johnson matthey share price slump company post full year result,negative
not previous share subscription stock option,neutral
affectogenimap build highly customise solution customer finland baltic country,neutral
closing transaction schedule take place january,neutral
however offering probably not make current valuation partly derive deal company merge stock market,neutral
net sale expect level,neutral
technical indicator stock bullish p give nok positive star buy rank,positive
n viro operate process facility independently well partnership municipality,neutral
accord ringman finnish paper company acquire know capacity paper recycling turn successful strategy,positive
company also say poland profitability program launch oborniki steel frame sandwich panel plant,positive
tesco sale rise show tentative recovery continue,positive
finland launch tie sale g mobile phone not dramatic rush mobile retail outlet first few day,neutral
nuan hold up well big gain maybe finally move still very undervalued major upside,positive
company split two part over come month essent own operating production supply enexis own operate grid,neutral
official not disclose contract value,neutral
london lead share today jump almost point market open,positive
combined company pro forma net sale mln euro mln operating profit mln euro mln,neutral
manage director kari inkinen say sponda leasing operation develop highly favourably,positive
tsla steam up stock relentless moment,positive
marathon estimate value remain stake protalix million,neutral
whitbread share price climb q sale growth,positive
incap contract manufacturing subsidiary incap corporation finland,neutral
operating profit total eur mn up slightly eur mn corresponding period,positive
go market yield guidance area give flexibility go up down th,neutral
rt stockdemon think short close play spy high beta reversing look worth shot,negative
vdw combine lxe device enhance productivity enable worker use single device perform voice scanning keyboard function,positive
thus method cut working cost fasten planning building process,positive
copyright afx news afx financial news logo register trademark afx news limit,neutral
lnkd daily phase retest price experience early rejection retest http stks co txx,negative
rbs reportedly appoint howard davies next chairman,neutral
tesco asda sale fall march discounter continue kantar,negative
new version very important introduce bim process base detailed building information model,neutral
sampo plc jarmo salonen head investor relation group communication tel distribution nasdaq omx helsinki principal medium financial supervisory authority www sampo com announcement distribute thomson reuters behalf thomson reuters client,neutral
barronsonline see apple share year today grow service business aapl https co bdneknl,positive
pharmaceutical market poland global research datum service publish recently market analysis pharmaceutical market poland,neutral
employer together health personnel support quit pay part cost nicotine treatment,neutral
order include ship crane deliver container feeder build wenchong shipyard china,neutral
goog testing day consolidation http stks co hcpj,positive
join technopolis kone hold various position within group most recently director service business business development kone middle eastern operation,neutral
succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service,positive
profitability ebit compare previous year period,positive
plant schedule completion late february hand over area january two supplier nokia aspocomp group oyj perlos announce plan establish plant within nokia complex together invest rs crore,neutral
upm kymmene upgrade line underperform goldman sachs,positive
slump weir lead ftse down record high,negative
royal mail breach competition law over delivery service change ofcom claim,negative
cooperation involve arena partner buy share new joint venture company operate alma medium home sale vehicle consumer advertising marketplace business,neutral
efore plant saarijarvi central finland one large employer region,neutral
however short term rental become popular,neutral
tesco close new chairman dixons carphone john allan frame,positive
