Sentence,Sentiment
global electricity demand is projected to double by driven by the electrification of transport heating cooling industrial processes and the expansion of ai and data centres,positive
while the exact electricity demand depends on the much needed electrification electricity is expected to become the largest global energy carrier by,neutral
future demand must be met by affordable secure and renewable energy sources,neutral
the renewables industry has seen substantial build out in recent years and renewable energy projects can expand local supply chains generate jobs boost manufacturing improve infrastructure and create local investments and long term opportunities for growth in local communities,positive
diversified energy portfolios including a higher share of renewables can improve energy security and reliability by reducing dependency on imported fuels,neutral
furthermore renewables are instrumental in decarbonising energy systems and industrial processes and in reaching global climate targets,neutral
also renewables can drive nature restoration if done right,neutral
our vision is to create a world that runs entirely on green energy and we are ready to do our part,neutral
however to unlock the full potential of renewables in the future governments private sector and local communities need to collaborate closely to facilitate the supply of renewable energy set targets for a renewable build out and expand the grid infrastructure to handle it,neutral
this must be done in a way which ensures value creation for all parties both in the short and long term,neutral
in the past months the industry has been characterised by continued and more challenging headwinds relating to regulatory supply chain and macroeconomic developments,negative
together with project specific challenges related to our us offshore wind projects under construction this has had an adverse impact on our capital structure,neutral
faced by this reality we are updating our business plan to be more focused and to support our target of a solid investment grade rating,positive
as part of this we are stepping away from our gw ambition and ebitda target and we are reducing our investment programme,neutral
we will continue to be active across our three regions but we will focus our capital allocation,neutral
thus when we pursue new development opportunities we will first and foremost prioritise the most financially attractive offshore wind opportunities in regions and countries where we see the most attractive framework conditions and investment environment,positive
with the reduced growth ambition towards and a disciplined approach to capital allocation rsted will inevitable become a more lean and focused company,positive
therefore we will take measures beyond the initiatives to continuously adapt and rightsize our cost base and organisation to fit our value and build out ambition,neutral
to deliver on the plan we will reduce our investment programme by approx,neutral
to dkk billion in the period ensure the delivery of our divestment programme and focus our immediate efforts on the execution of our existing construction portfolio,neutral
expectedly this will roughly double our installed offshore wind capacity from gw to gw and increase our total installed renewable capacity to gw by the end of,positive
we expect to deliver an ebitda of dkk billion by and to achieve a return on capital employed roce of on average for the period,neutral
during we achieved significant strategic steps and we have advanced five transformational and company wide business priorities to significantly improve our ability to enhance value creation,positive
first we have advanced our revised project and operating model which will create clearer accountability and stronger risk management throughout the development and construction phases of our offshore projects,negative
second we are fully on track to deliver permanent cost savings of dkk billion per year as a part of our organisational efficiency initiative,neutral
third we have progressed our initiative to improve our revenue capabilities to maximise the value of our energy generation and improve our competitiveness by expanding and leveraging our asset backed trading competences further,neutral
fourth we are enhancing the value of our operating fleet by optimising the operations and maintenance of our assets to achieve higher availability at the right time,neutral
and finally we have commenced an initiative to strengthen our supply chain and risk management capabilities to leverage our leading position and improve our competitiveness in future auctions,negative
altogether we are confident that these company wide and transformational business priorities will have a significant positive impact on our ability to deliver cost savings increase revenue and help improve our overall competitiveness,positive
in we added gw of installed capacity to our offshore portfolio by commissioning greater changhua and a and south fork and gw to our onshore portfolio by commissioning four solar farms including mockingbird our largest solar farm to date,neutral
by the end of our total installed capacity reached gw,neutral
during we also advanced eight projects with a total capacity of gw to fid spanning across our portfolio of offshore and onshore wind as well as solar and storage,neutral
following the award of an offshore wind renewable energy certificate orec in new yorkos fourth offshore wind solicitation we added sunrise wind to our construction portfolio in,neutral
with this addition we had gw of offshore capacity under construction by the end of,neutral
in early we took fid on the wind farm baltica further adding gw to our construction portfolio,neutral
in our onshore business we took fid on several projects in the most significant being our onshore wind farm badger wind and a storage project adjacent to our solar farm old,neutral
by the end of we had gw of onshore capacity under construction,neutral
in the uk we reached a significant milestone in when the uk department for energy security net zero desnz awarded us gw of capacity for our offshore wind farms hornsea and hornsea,neutral
when operational hornsea will be the worldos single largest offshore wind farm with a capacity of gw,neutral
most of our projects are progressing according to plan and we work diligently to de risk our portfolio,negative
however we continue to face and manage supply chain and construction challenges at our two us offshore construction projects revolution wind and sunrise wind,neutral
our partnership and divestment programme is on track with several divestments initiated and concluded during the year,neutral
total proceeds from the transactions make up dkk billion of the target of dkk billion through,neutral
we have divested of four operational uk offshore wind farms with a combined total capacity of gw to brookfield and of our taiwanese offshore wind farm greater changhua mw to cathay life insurance,neutral
in onshore we made a partial divestment of four us operational wind farms mw to stonepeak and a partial divestment of the solar farm mockingbird to energy capital partners ecp,neutral
additionally in the partnership with ecp we signed an agreement to partially divest our solar farm sparta solar and our battery storage project eleven mile solar center with closings expected in,neutral
lastly we divested our onshore platform in france to engie,neutral
innovation is another lever to improve our competitiveness and we have continued to be at the forefront of the industry,neutral
in we developed a new low noise foundation installation method which strengthens existing protections to marine life,neutral
beyond the noise reduction this new technology is a step change in offshore wind monopile installation that once adopted at scale can overcome pile refusal challenges and provide for cheaper and faster installation than any other monopile installation technology,neutral
in addition we launched the worldos first heavy lift cargo drone operations at our offshore wind farm borssele,neutral
the drones will improve operational efficiency and safety in the offshore wind industry,neutral
the organisational efficiency programme included company wide and coordinated redundancy rounds which were concluded in november,neutral
this has had an impact on our employee satisfaction score,neutral
motivation and well being of our colleagues are of the highest importance to us and increasing employee satisfaction will be a key priority,positive
ebitda totalled dkk billion in compared to dkk billion in,neutral
ebitda excluding new partnerships and cancellation fees amounted to dkk billion an increase of dkk billion compared to and in line with our guidance of dkk billion,positive
earnings in were positively impacted by ocean wind cancellation fees where we have continued to work through our supplier contracts and finalised negotiation of several contracts with a better outcome than assumed,neutral
net of the provision for ceasing flagshipone this has led to a positive ebitda impact of dkk billion,positive
ebitda from new partnerships in was limited and related to the farm down of greater changhua and mockingbird,neutral
earnings from sites in operation in offshore increased with almost and amounted to dkk billion in mainly due to ramp up of generation at greater changhua and a south fork and gode wind higher wind speeds and a higher pricing of the inflation indexed cfds and green certificates,negative
lower availability dampened the increase in,positive
in we recognised net impairments of dkk billion with the majority dkk billion relating to our us projects and from our decision to cease construction of flagshipone dkk billion,neutral
the us impairments were due to an increase in the us longdated interest rate a lower market informed valuation of our us seabeds construction delays and higher expected costs for our us projects revolution wind and sunrise wind,positive
roce was for the year,neutral
adjusted for impairments and cancellation fees roce amounted to in,neutral
profit for the year amounted to dkk billion,positive
excluding impairments after tax and cancellation fees profit for the year was dkk billion,positive
our commitment to a sustainable build out is at the core of our business,neutral
our three strategic sustainability priorities decarbonisation biodiversity and community impact play an enabling role in our strategy and project delivery,positive
they support that we mitigate risks and deliver more resilient energy projects that also drive a positive change for society and nature,positive
in we saw strong progress on all three priorities,positive
among other things we launched our obiodiversity measurement frameworko to guide transparent measurement and reporting on our biodiversity impact,neutral
we also reached the last big milestone in transforming our energy production to renewable energy by shutting down our last coal fired power station,neutral
with this we are on track to reach our industry leading science based target to reduce our scope and emissions intensity by since and to reach our target of a renewable share of energy generation by,neutral
we have been reporting on sustainability for the last two decades and in we have further developed our reporting to comply with the new european sustainability reporting standards esrs framework,neutral
for investors and other stakeholders the standardisation and transparency of this new regulation will ensure greater comparability across companieso sustainability impacts risks and opportunities,neutral
in we reduced our total recordable injury rate trir,negative
it is the second year in a row that we experience a reduction and we see it as a result of our longterm focused effort on safety,neutral
we welcome the reduction in trir and we will continue our safety improvement initiatives to ensure the trend continues,neutral
the year proved to be a challenging year for the industry and for rsted,negative
we have experienced headwinds and have therefore taken necessary actions while leveraging our years of experience to achieve several milestones across our renewables portfolio,neutral
we have made substantial divestments and advanced our focused company wide business priorities,neutral
we have done this to ensure the strongest possible platform to deliver consistent value in the years to come,neutral
we believe in the long term fundamentals of the renewables industry and will continue to navigate existing and new market challenges as well as engage proactively to restore investor confidence in rsted and in offshore wind as an industry,neutral
in we have worked relentlessly to strengthen and improve the conditions for our industry in close dialogue with key stakeholders and we will continue this effort in,neutral
we will continue our journey to adapt to the new reality by constantly improving our competitiveness to remain one of the worldos leading developers constructors and generators of renewable assets,neutral
on behalf of the board we would like to thank mads nipper for his commitment to rstedos vision and his strong and constructive collaboration over the past four years,positive
as a concluding remark we would like to express our sincere gratitude to our skilled colleagues who throughout a year of uncertainty and redundancies yet again proved their unwavering commitment and who continue to drive the energy transition forward,negative
managementos are rsted annual report eview overview,neutral
this year danske bank will celebrate its year anniversary and since the foundation in it has been our role to contribute to economic growth in the societies we are part of by enabling families and businesses to save and invest and to prepare for the opportunities and challenges that lie ahead,positive
the covid pandemic was a challenge that few had anticipated,neutral
it hit without warning and turned lives and businesses upside down,neutral
but as a solid and well capitalised bank danske bank has been in a good position to support our customers and we have helped reduce economic uncertainty by extending credit lines by helping customers assess risks and by contributing to the maintenance of a well functioning financial infrastructure,positive
the crisis has reaffirmed why we are here,negative
we play an important role for our customers and for the financial infrastructure across the nordic countries,neutral
we contribute to growth and prosperity and we act as an anchor that creates security and continuity when economic cycles turn and crises arise,positive
covid continues to be a tremendous challenge,neutral
but our experience over the past year has demonstrated our ability to change and adapt and it has shown us what we can achieve when we all work together to overcome such a challenging situation,negative
this bodes well for the profound and ambitious transformation we have ahead of us,neutral
in we announced our ambition to become a better bank for customers employees society and shareholders,neutral
in addition to changing the way we work and the way we are organised we are also making substantial investments to become a more digital and agile bank that has lower costs fewer and simpler products and better and faster decision making processes,neutral
this will make us more attractive to customers and more competitive,positive
it will also make us a better and more engaging place to work which will help us to recruit new talent and retain the good employees we already have,neutral
collectively this will enable us to strengthen our commercial momentum and to deliver to our shareholders better and more sustainable financial results in a competitive market with low margins and persistently low interest rates,positive
over the past year we have also continued to strengthen our risk and compliance setup and have taken active measures to address and resolve legacy issues that have been both wrong and unacceptable,negative
as we continue this work we are promoting a culture in which mistakes are addressed discussed and resolved in a responsible manner,neutral
this is the only way we can rebuild trust and it is a key element of our ambition to become a better bank that works in the interest of all stakeholders,neutral
danske bank has evolved over a century and a half as a reflection of the societies we are part of,neutral
we have helped shape these societies by creating opportunities by helping individuals and businesses to realise their ambitions and by helping to build and innovate the financial infrastructure,neutral
as the largest financial services provider in denmark and one of the largest financial institutions in the nordic countries we have a particular responsibility to contribute to sustainable growth and development,positive
we will fulfil this responsibility by continuing to evolve in tandem with the world around us to run a sustainable and profitable business that delivers the solutions that our customers and society need,neutral
the year before last we announced an ambitious new strategy forward o which sets out clear strategic priorities for strengthening our position as a leading bank in the nordic region,positive
the year marked the first year of execution in our new strategy period and our achievements over the past year are testimony to the hard work and dedication of our employees and demonstrate our ability to work together on the goals we set,neutral
our achievements have also reinforced our confidence as well as that of our stakeholders in the strength of our strategy,neutral
in recent years we have made fundamental changes to danske bank which have made us a more focused business with a stronger organisation and greater potential and in we continued to build on the commercial momentum gained in recent years,positive
our financial results have continued to improve as reflected by higher income levels tightly managed costs and a higher return on equity,positive
we see strong investor confidence and rising customer satisfaction scores,positive
in november we were rated the most preferred bank by large businesses in denmark and subsequently received the same top rating among large businesses across all of the nordic countries,neutral
